parameter,crown_a,crown_b,crown_axis_ratio,crown_eccentricity,lad_a,lad_b,lad_axis_ratio,lad_eccentricity,plane_angle_deg,lcx_angular_extent_deg,lad_angular_extent_deg,crown_fit_rmse,lad_fit_rmse,lcx_residual_rmse,lad_residual_rmse
crown_a,1.0,0.9087657364057689,0.9683826458615633,0.5638046653516502,0.009664916289608853,0.00256213931878049,0.06457543832761473,0.07851882066645709,-0.0543478378177155,-0.33323742805586687,0.01951602238574103,0.024360184213748495,0.1774535770488713,-0.16990929640843028,0.1774535770488713
crown_b,0.9087657364057689,1.0,0.7977486470645201,0.3968616172991842,-0.0013950353383400083,-0.009954735348034425,0.06101943661495716,0.0718027674788974,-0.0762776770799323,-0.30091573951100165,0.054437712565286074,0.00673366954606116,0.18501015608698923,-0.19443344431076628,0.18501015608698923
crown_axis_ratio,0.9683826458615634,0.7977486470645201,1.0,0.6687150016625819,0.013422070924987721,0.002787850088535063,0.08047265782371311,0.08052581136490618,-0.04470422659809853,-0.34809103352184706,0.020285989649674766,0.009987892453052023,0.18465772159944616,-0.16946315564415212,0.18465772159944616
crown_eccentricity,0.5638046653516502,0.3968616172991842,0.668715001662582,1.0,-0.09098858018055558,-0.07234976470020207,-0.021291967510519913,-0.044001096684538894,0.04981887446391736,-0.2839284656750207,0.11951692989246923,-0.17978183023359925,0.17527179881167512,-0.1539993876700421,0.17527179881167512
lad_a,0.009664916289608853,-0.0013950353383400086,0.013422070924987721,-0.09098858018055558,1.0,0.9176432404808066,0.27115636958895734,0.5987316598217618,-0.12578901040837098,-0.021003328470156277,-0.7754531039368364,0.06641814293776711,-0.00930282406198552,-0.04510923320635472,-0.00930282406198552
lad_b,0.00256213931878049,-0.009954735348034423,0.002787850088535063,-0.07234976470020206,0.9176432404808066,0.9999999999999999,0.0140073336699172,0.39083572098683983,-0.08384960755498057,0.06893188398854241,-0.7088626832758373,0.012384295603086053,-0.020049695964282525,-0.09411549326145173,-0.020049695964282525
lad_axis_ratio,0.06457543832761473,0.06101943661495716,0.08047265782371313,-0.021291967510519913,0.27115636958895734,0.0140073336699172,1.0,0.5853427520157993,-0.04538993723211254,-0.30174052467570245,-0.3397789903272168,0.05053840111863882,-0.038797295553080986,0.08809984042114256,-0.038797295553080986
lad_eccentricity,0.0785188206664571,0.07180276747889738,0.08052581136490618,-0.044001096684538894,0.5987316598217618,0.39083572098683983,0.5853427520157993,0.9999999999999999,-0.04524539957262105,-0.2469522783170414,-0.6491590036590492,-0.010822678619486194,-0.23467820021236796,-0.0017832003603907192,-0.23467820021236796
plane_angle_deg,-0.05434783781771551,-0.0762776770799323,-0.04470422659809853,0.04981887446391736,-0.12578901040837098,-0.08384960755498057,-0.04538993723211255,-0.04524539957262105,1.0,-0.09156364860088591,0.14758226951217984,-0.05454984105096672,0.013340917066441062,0.0676660706109151,0.013340917066441062
lcx_angular_extent_deg,-0.33323742805586687,-0.30091573951100165,-0.34809103352184706,-0.28392846567502067,-0.02100332847015628,0.06893188398854241,-0.30174052467570245,-0.2469522783170414,-0.0915636486008859,1.0,0.19778876820497648,0.03502926078451998,0.12270144330221743,-0.06009870286128749,0.12270144330221743
lad_angular_extent_deg,0.019516022385741034,0.054437712565286074,0.020285989649674766,0.11951692989246922,-0.7754531039368365,-0.7088626832758373,-0.3397789903272168,-0.6491590036590491,0.14758226951217981,0.19778876820497648,1.0,-0.08025925844282264,0.4506535569095916,-0.06191170237251263,0.4506535569095916
crown_fit_rmse,0.024360184213748495,0.00673366954606116,0.009987892453052021,-0.17978183023359925,0.06641814293776711,0.012384295603086053,0.05053840111863882,-0.010822678619486195,-0.05454984105096672,0.03502926078451998,-0.08025925844282264,1.0,-0.03218986506570336,0.6578294225351095,-0.03218986506570336
lad_fit_rmse,0.17745357704887132,0.1850101560869892,0.18465772159944613,0.17527179881167512,-0.00930282406198552,-0.020049695964282525,-0.038797295553080986,-0.23467820021236796,0.013340917066441062,0.12270144330221743,0.4506535569095916,-0.03218986506570336,1.0,-0.16466558128757489,1.0
lcx_residual_rmse,-0.16990929640843025,-0.1944334443107663,-0.16946315564415212,-0.1539993876700421,-0.04510923320635472,-0.09411549326145172,0.08809984042114256,-0.0017832003603907192,0.06766607061091512,-0.06009870286128749,-0.061911702372512624,0.6578294225351096,-0.16466558128757489,1.0,-0.16466558128757489
lad_residual_rmse,0.17745357704887132,0.1850101560869892,0.18465772159944613,0.17527179881167512,-0.00930282406198552,-0.020049695964282525,-0.038797295553080986,-0.23467820021236796,0.013340917066441062,0.12270144330221743,0.4506535569095916,-0.03218986506570336,1.0,-0.16466558128757489,1.0
